result_id,cdm_name,result_type,package_name,package_version,group_name,group_level,strata_name,strata_level,variable_name,variable_level,estimate_name,estimate_type,estimate_value,additional_name,additional_level
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,overall,overall,overall,overall,settings,NA,minCellCount,integer,5,overall,overall
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,codelist,acetiminophen,overall,overall,Record count,NA,count,integer,NA,estimate_suppressed,TRUE
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,standard_concept_name,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,overall,overall,Record count,NA,count,integer,NA,standard_concept_id &&& source_concept_name &&& source_concept_id &&& domain_id &&& estimate_suppressed,40229134 &&& Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution &&& 40229134 &&& drug &&& TRUE
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,standard_concept_name,Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,overall,overall,Record count,NA,count,integer,NA,standard_concept_id &&& source_concept_name &&& source_concept_id &&& domain_id &&& estimate_suppressed,40231925 &&& Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet &&& 40231925 &&& drug &&& TRUE
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,standard_concept_name,Acetaminophen 750 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet,overall,overall,Record count,NA,count,integer,71,standard_concept_id &&& source_concept_name &&& source_concept_id &&& domain_id &&& estimate_suppressed,19133768 &&& Acetaminophen 750 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet &&& 19133768 &&& drug &&& FALSE
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,standard_concept_name,Acetaminophen 325 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet,overall,overall,Record count,NA,count,integer,NA,standard_concept_id &&& source_concept_name &&& source_concept_id &&& domain_id &&& estimate_suppressed,40162522 &&& Acetaminophen 325 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet &&& 40162522 &&& drug &&& TRUE
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,standard_concept_name,Acetaminophen 160 MG Oral Tablet,overall,overall,Record count,NA,count,integer,NA,standard_concept_id &&& source_concept_name &&& source_concept_id &&& domain_id &&& estimate_suppressed,1127078 &&& Acetaminophen 160 MG Oral Tablet &&& 1127078 &&& drug &&& TRUE
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,standard_concept_name,Acetaminophen 325 MG Oral Tablet,overall,overall,Record count,NA,count,integer,9365,standard_concept_id &&& source_concept_name &&& source_concept_id &&& domain_id &&& estimate_suppressed,1127433 &&& Acetaminophen 325 MG Oral Tablet &&& 1127433 &&& drug &&& FALSE
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,codelist,acetiminophen,year,1909,Record count,NA,count,integer,NA,estimate_suppressed,TRUE
1,Synthea synthetic health database,cohort_code_use,CodelistGenerator,2.2.1,codelist,acetiminophen,year,1910,Record count,NA,count,integer,NA,estimate_suppressed,TRUE
